"GUIDE_A","GUIDE_B","GUIDE_C","GUIDE_D","RELTRAD","RELPER","IDEO","PARTY","WEIGHT","RELTRADlabels","PARTYlabels"
"Extremely important",2,1,3,1100,1,1,1,4399.70778068923,"Evangelical Protestant","Republican"
"Not at all important",1,1,1,100000,4,5,2,6693.42454869079,"Religiously Unaffiliated","Democrat"
"Extremely important",1,1,4,10000,2,3,3,3080.91622627023,"Catholic","Independent"
"Not too important",2,2,3,100000,4,3,1,5470.68515840227,"Religiously Unaffiliated","Republican"
"Somewhat important",1,1,3,1300,4,4,2,2474.92151115028,"Historically Black Protestant","Democrat"
"Very important",3,2,3,1300,1,3,2,5220.19787517473,"Historically Black Protestant","Democrat"
"Somewhat important",1,1,2,1100,2,2,3,6276.82901076595,"Evangelical Protestant","Independent"
"Not too important",2,2,3,100000,3,1,3,7408.34365797215,"Religiously Unaffiliated","Independent"
"Very important",1,1,1,10000,2,3,1,3800.26484662839,"Catholic","Republican"
"Not too important",1,1,1,10000,3,4,2,3901.60322218865,"Catholic","Democrat"
"Somewhat important",1,1,1,30000,3,4,2,3650.30699800306,"Orthodox Christian","Democrat"
"Very important",2,2,1,100000,2,4,2,3937.0217074848,"Religiously Unaffiliated","Democrat"
"Somewhat important",2,2,2,10000,3,2,1,4330.37269697102,"Catholic","Republican"
"Very important",2,2,1,10000,1,2,1,31641.1428293509,"Catholic","Republican"
"Extremely important",1,1,1,100000,2,3,2,11221.4477443637,"Religiously Unaffiliated","Democrat"
"Very important",2,1,2,1100,2,3,3,1231.47695028603,"Evangelical Protestant","Independent"
"Not too important",1,1,1,100000,4,3,2,6607.42466574134,"Religiously Unaffiliated","Democrat"
"Extremely important",2,2,2,1200,2,2,1,3859.27467540445,"Mainline Protestant","Republican"
"Extremely important",1,1,1,1200,2,4,2,2631.39987109637,"Mainline Protestant","Democrat"
"Very important",1,1,2,10000,2,2,1,1980.98206861586,"Catholic","Republican"
"Very important",1,2,4,1100,3,2,2,1098.34789871601,"Evangelical Protestant","Democrat"
"Extremely important",1,1,3,1100,2,1,1,4151.72884757156,"Evangelical Protestant","Republican"
"Somewhat important",3,2,3,100000,2,4,3,37446.6076325957,"Religiously Unaffiliated","Independent"
"Not too important",1,1,2,100000,4,2,1,1356.97588782676,"Religiously Unaffiliated","Republican"
"Very important",2,1,3,1100,2,2,1,6814.33979477081,"Evangelical Protestant","Republican"
"Very important",2,2,2,1200,3,3,4,9365.60186529066,"Mainline Protestant","Something else"
"Not at all important",3,1,1,100000,3,4,3,6448.33315695701,"Religiously Unaffiliated","Independent"
"Extremely important",1,1,1,10000,1,2,1,2468.16430030185,"Catholic","Republican"
"Not at all important",1,1,1,100000,4,5,3,14159.1559516227,"Religiously Unaffiliated","Independent"
